match_id,modelo,modelo_ganador_global,date,stage,group,home_team,away_team,lambda_home,lambda_away,factor_contexto_home,factor_contexto_away,prob_home_win,prob_draw,prob_away_win,prob_home_win_percent,prob_draw_percent,prob_away_win_percent,predicted_class
11,Regresion Lineal,False,2026-06-14,Group Stage,E,Ivory Coast,Ecuador,1.2353628457632702,1.1264866108885345,1.1025,1.1025,0.37671417805571183,0.29972117678109284,0.3235646451631954,37.67141780557118,29.972117678109285,32.35646451631954,H
12,Regresion Lineal,False,2026-06-14,Group Stage,F,Sweden,Tunisia,1.832437032828441,1.7147901671789911,1.1025,1.1025,0.40629352867738544,0.23531490173297775,0.3583915695896367,40.62935286773855,23.531490173297776,35.83915695896367,H
13,Regresion Lineal,False,2026-06-15,Group Stage,H,Spain,Cape Verde,3.3534267947792533,0.7800487782006591,1.1025,1.1025,0.8493398539879942,0.10227401356317849,0.04838613244882734,84.93398539879942,10.227401356317849,4.838613244882734,H
14,Regresion Lineal,False,2026-06-15,Group Stage,G,Belgium,Egypt,2.3838895090565595,0.9731819097429896,1.1025,1.1025,0.6796525271267554,0.18962924882623688,0.13071822404700764,67.96525271267554,18.96292488262369,13.071822404700765,H
15,Regresion Lineal,False,2026-06-15,Group Stage,H,Saudi Arabia,Uruguay,0.23979415122652245,1.7659258757573826,1.1025,1.1025,0.03985343551732562,0.2070060928442396,0.7531404716384347,3.985343551732562,20.700609284423958,75.31404716384347,A
16,Regresion Lineal,False,2026-06-15,Group Stage,G,Iran,New Zealand,2.291355139802612,0.8890152171370226,1.1025,1.1025,0.6820843978373621,0.19415666225072126,0.12375893991191653,68.20843978373621,19.415666225072126,12.375893991191653,H
17,Regresion Lineal,False,2026-06-16,Group Stage,I,France,Senegal,2.2693268559505944,1.206715530801962,1.1025,1.1025,0.6058148128664035,0.20830816751323863,0.1858770196203579,60.58148128664035,20.830816751323862,18.58770196203579,H
18,Regresion Lineal,False,2026-06-16,Group Stage,I,Iraq,Norway,1.0011004992671522,2.267426889635561,1.1025,1.1025,0.14656374345723666,0.20172210152513637,0.6517141550176273,14.656374345723666,20.172210152513635,65.17141550176274,A
19,Regresion Lineal,False,2026-06-16,Group Stage,J,Argentina,Algeria,2.4579267994804304,0.5895014730911949,1.1025,1.1025,0.77918594899853,0.15676362703243896,0.06405042396903125,77.918594899853,15.676362703243896,6.405042396903125,H
20,Regresion Lineal,False,2026-06-17,Group Stage,J,Austria,Jordan,2.626541066456905,0.750757986913985,1.1025,1.1025,0.7682916725352198,0.153904262705953,0.0778040647588271,76.82916725352197,15.3904262705953,7.78040647588271,H
